content,polarity,topic,Tweet_No
less than  days left till the  ecosummit jedlixs cofounder  will speak on may  about integrating evs into the eco system check the program,0,3,0
got plans for lunch today  join us for a great conversation on evs and infrastructurelink is in bio,1,5,1
bring it on  vs  evs,0,3,2
tesla becomes worlds largest ev automaker surpasses chinas byd  via  byd electriccars electricvehicles evs tesla cars autos vw elonmusk daimler bmw psa renault peugeot citroen fiat volvo opel,1,3,3
hola   we consumers want electriccars but you insist on big suvs for emerging mkts  check tweets side by side evs,0,0,4
as we continue to deploy test amp iterate  charging infrastructure across dundee ahead of public launch this weather is proving to be a good challenge  evchargingstations evcharging  electricvehicles electriccarcharging ev evs cleanstreets  mobility,1,5,5
i dont think any serious observer expects more than  of these garbage oshkoshford mail trucks to be evs its just dumb they shouldve gone all in and picked wkhs,-1,5,6
some great evs on display here at,0,5,7
italy to introduce ev subsidy and plans to tax petrol and diesel vehicles more information  evs electricvehicles automotive cars petrol diesel fueltax dieselvehicles petrolvehicles evsubsidy automotiveindustry,1,2,8
with a new bipartisan bill from     and  more drivers will be able to afford the evs they want and well see the benefits in our communities help support this bill evsamerica,1,0,9
our evs is the balm happy evs week day  at mcbevs evsweek evsweek thankyou healthcareheroes healthcare healthcareworkers hospitalworkers mcb medicalcenterbarbour hereforyou barbourcounty barbourcountyalabama barbourcountyhospital eufaula eufaulaalabama,1,0,10
teslas market value soars to bn ahead of sampp  debut   via  eugreendeal greenrecovery climateactionnow electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,3,11
charging  again  is again the only one working  and  connect and authorize but after a few seconds of initializing fail with start charge error on my hyundai kona electric evs electric electriccars,-1,-1,12
this weeks podcast is here evs electricvehicles evpodcast,0,-1,13
hyundais hydrogenpowered car does  km per tank and still purifies the air  hyundai hydrogen hydrogennow greenhydrogen eugreendeal climateactionnow electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw renault,1,2,14
who says the   cooper se isnt a good road trip car well we admit it isnt the best long trips but you can do it if the infrastructure is there thanks to the  network driving  mi from nj to nc today was easypeasy  evs,0,5,15
running essential errands in san franciscos soma neighborhood download the newest version of the evgo app for a qr code enabling access to  brand new kw evgo fast chargers located in the soma grand parking garage evgo electricvehicles evs,0,5,16
then factoring in servicing costs or the lack of makes evs even more compelling,1,0,17
thank you to all our reservation holders i know u reserved with almost no info u will get a lot more information november th amp a few best in class surprises fisker love evs esg surprise,1,0,18
aston martin now has an electric car fit for james bond  via  astonmartin electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,5,19
vandals shut down uk electric car sharing program within months  via  brexit electriccars electricvehicles electriccar evs ev tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel borisjohnson,-1,5,20
our ev night at the driveins tesla evs renewableeco,0,-1,21
survey state of colorado is bound determined to get car buyers to move to evs regardless of consumer choice otherwise  of market  how big should government go to push public to electric mobility  evs v choice,1,-1,22
absolutely crazy that  let that bloody useless road user tax for evs get through to the keeper,-1,-1,23
worlds largest battery charging network planned for the ukread more here pivotpower automotive automotiveindustry charging evs emobility futuremobility evchargingstations cars uk technology,1,-1,24
new california cuts electriccar rebates drops luxury models w sticker price above k electriccars evs cleancars,-1,-1,25
come to  panel discussion today   pm in ballroom b to learn more about transportation electrification zevs evs electricvehicles,0,5,26
thinking out of the box afsai  icyeghana icdeindia icyenigeria icyekenya unitedplanettz evs volunteering europeansolidaritycorps,1,3,27
chargedup for progress  our cto  featured in  for being selected among the  global fellows  eq summit smartauto ebike electricvehicles futureiselectric evs makeinindia cleanindia,1,3,28
pure diy masterpiece of a stand for qev  we need a multi column stand for larger columns not only for original evs extracellularvesicles nanoparticles,-1,5,29
tasmanian devils transmissible cancers and evs  great collaborating with  on this project,1,5,30
few show cars make it to production looking as good amp with great tech the fisker ocean production car will supersede the show car fisker love evs esg design sustainability,1,5,31
private viewing of lucidair the future of evs is promising kfir thx for the invite,1,-1,32
nedc overestimates real range but reliable to compare between evs eg if  a has nedc of km b  is real world range of b gt a,-1,1,33
increasing pressure on western automakers operating in china to produce evs,1,-1,34
